Chore To Do,Extra Notes,Workload
,,
pick up living room,fold & put away blankets,2
dust around living room desk area,take out trash,1
"clean, dust & straighten area on top of & around Daisy's crate & console bench under window",,1
dust fireplace & mantel,,1
dust in the entry way and dinning room including desk area,empty trash can next to desk,2
pick up area by garage door & vacuum out drawer,,2
sweep or vacuum & mop area by garage door ,,2
"clean, sweep & mop kitchen bathroom",take out trash,3
sweep or vacuum front of house & mop,"(entryway, dinning room, bedroom hall, hall leading to kitchen)",8
empty cat litter box in dinning room and add new litter shake out mat and sweep in front of litter box ,,1
wipe off bar,,2
clean & wipe down counters in pantry,,3
sweep or vacuum & mop pantry,,1
clean microwave with spray cleaner & clorox wipes,,2
sweep or vacuum & mop kitchen,"including hall and area outside Daddy & Renee's door, under counters & in corners",4
clean & wipe down stove & counters by stove,,4
sweep & mop under bar stools & area between sofa & bar,,3
wipe down counters & island in kitchen,,3
dust windows and doors,,2
empty/add new litter in cat litter box in storage closet,,1
shake out mat under storage closet cat litter box & sweep and mop storage closet,,1
sweep or vacuum & mop kids bathroom,,4
clean kitchen garbage cans area,,2
sweep or vacuum living room & mop,move Daisy's crate & sofas,6
clean boys bathroom pickup towels,take out trash,5
"Sift cat litter box in Daddy & Renee's Room & add new litter if needed, shake out & clean mat and vacuum in front of litter box",DO NOT EMPTY OUT OLD LITTER,1
sweep & leaf blow back porch on both sides of gate,,4
sweep & leaf blow front porch ,,1
